Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2,sudoku,2026-03-30 20:42:45,1710965,70462,45263,17774,39326,18544,11601,8771
2,sudoku,2026-03-30 20:42:46,3085550,540093,38345,63737,99708,63330,40809,20855
2,sudoku,2026-03-30 20:42:47,1463553,246684,77699,20004,31912,70029,14230,4613
2,sudoku,2026-03-30 20:42:48,1334230,35268,83952,15820,10858,10329,5046,2879
2,sudoku,2026-03-30 20:42:49,1204582,131724,4409,30968,30477,17157,21413,4011
2,sudoku,2026-03-30 20:42:50,1210460,714299,56206,187976,191362,91718,70109,45629
2,sudoku,2026-03-30 20:42:51,194920,17122,4541,2063,2445,1534,2136,647
2,sudoku,2026-03-30 20:43:15,198782,120869,8676,39571,40946,7144,1349,3678
2,sudoku,2026-03-30 20:43:16,653764,340654,173766,195720,204593,24075,14403,12681
2,sudoku,2026-03-30 20:43:17,2442738,254995,83388,47355,218920,80971,37318,9117
2,sudoku,2026-03-30 20:43:18,135723,39205,4790,2753,3470,1513,722,744
2,sudoku,2026-03-30 20:43:19,629004,14217,4262,17881,7069,4115,660,661
2,sudoku,2026-03-30 20:43:20,1814902,360742,149871,58059,92267,52454,26101,19841
2,sudoku,2026-03-30 20:43:21,1026895,110014,45008,33204,11939,17305,2216,1962
2,sudoku,2026-03-30 20:43:22,1899206,418669,354746,277565,115605,151795,18442,21250
2,sudoku,2026-03-30 20:43:30,370552,283199,22244,47409,25158,7944,3109,2880
2,sudoku,2026-03-30 20:43:31,904801,264928,410555,68490,32437,80756,7375,19210
2,sudoku,2026-03-30 20:43:32,1727273,215756,170244,98734,27249,55624,21546,5285
2,sudoku,2026-03-30 20:43:33,1159860,267206,97047,90326,74166,33756,12790,7237
2,sudoku,2026-03-30 20:43:34,1274671,114787,35777,17602,13878,17560,3120,4970
2,sudoku,2026-03-30 20:43:35,350465,119312,27725,9216,8949,5917,2795,2043
2,sudoku,2026-03-30 20:43:36,1174811,113681,22962,60781,28546,23947,4181,4853
2,sudoku,2026-03-30 20:43:37,643671,36004,59974,29581,32071,16119,2042,2381
2,sudoku,2026-03-30 20:43:38,1389667,781414,87018,120982,71609,48433,24957,16480
2,sudoku,2026-03-30 20:43:39,1157003,20394,31079,13705,14750,11028,1461,3235
2,sudoku,2026-03-30 20:43:40,1651614,273890,94817,241470,79987,51227,23656,5217
2,sudoku,2026-03-30 20:43:41,2175456,1180719,1405330,585095,473162,277813,49968,38879
2,sudoku,2026-03-30 20:43:42,184782,274025,24479,4668,5397,5201,1670,3216
2,sudoku,2026-03-30 20:43:43,716567,46682,63737,20124,4888,4826,5143,1782
2,sudoku,2026-03-30 20:43:44,2241624,897759,161462,60209,102253,46248,14057,6595
2,sudoku,2026-03-30 20:43:45,1600457,848665,478413,30733,99291,34959,17308,6994
2,sudoku,2026-03-30 20:43:46,601053,77422,10909,49959,17326,11241,4586,1092
2,sudoku,2026-03-30 20:43:47,544469,92936,5501,15994,6742,13057,7628,6931
2,sudoku,2026-03-30 20:43:48,139466,180623,7782,26964,13072,8443,6050,1842
2,sudoku,2026-03-30 20:43:49,1607996,28719,10880,12011,13103,11948,3385,1363
2,sudoku,2026-03-30 20:43:50,294332,153390,34175,6789,7470,4118,1840,1026
2,sudoku,2026-03-30 20:43:51,218163,76014,23361,16800,21162,6803,4747,5597
2,sudoku,2026-03-30 20:43:52,968390,49845,38849,34578,13744,5560,4451,832
2,sudoku,2026-03-30 20:43:53,681414,445668,23972,85170,106909,54143,8893,9955
2,sudoku,2026-03-30 20:43:54,753317,238500,44383,32717,90579,27929,10126,9565
2,sudoku,2026-03-30 20:43:55,788766,74430,4727,32597,5838,8135,2616,1746
2,sudoku,2026-03-30 20:43:56,1192572,415342,25618,51306,35503,9981,22070,4922
2,sudoku,2026-03-30 20:43:57,165933,342944,162075,70183,14889,42871,23161,4190
2,sudoku,2026-03-30 20:43:58,2367180,604390,63136,88184,38972,14339,13141,3697
2,sudoku,2026-03-30 20:43:59,291731,50843,30497,14133,7287,10402,3205,2613
2,sudoku,2026-03-30 20:44:00,1132409,79488,40589,82269,28236,8538,6226,3932
2,sudoku,2026-03-30 20:44:01,958496,188765,121287,52320,53474,13311,20858,5799
2,sudoku,2026-03-30 20:44:02,1657750,319537,125776,79347,19872,13468,5151,7413
2,sudoku,2026-03-30 20:44:03,190532,88002,8594,9375,4193,8610,3848,2082
2,sudoku,2026-03-30 20:44:04,764372,107299,105483,23402,27724,20413,8271,7971
2,sudoku,2026-03-30 20:44:05,1448331,129289,72133,34367,13935,12936,5281,2374
2,sudoku,2026-03-30 20:44:06,732568,49959,23443,9228,3915,4051,1682,2351
