Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
4,relax,2026-04-03 11:22:17,87846,10537,4799,2583,315,881,769,316
4,relax,2026-04-03 11:22:18,1728152,29440,15783,1322,3522,1816,2039,1529
4,relax,2026-04-03 11:22:19,320671,16632,1677,4412,1772,3371,4273,1009
4,relax,2026-04-03 11:22:20,1781453,614672,22291,133556,98675,100016,29967,45848
4,relax,2026-04-03 11:22:21,192740,11694,3337,4204,5310,2206,971,778
4,relax,2026-04-03 11:22:22,557713,10777,5503,1899,3200,2378,2356,1007
4,relax,2026-04-03 11:22:23,859931,17182,18045,18041,5543,10190,5118,4220
4,relax,2026-04-03 11:22:24,382257,32387,110126,42596,10455,8015,10377,3826
4,relax,2026-04-03 11:22:26,679635,97369,8572,20024,3290,4200,2803,4003
4,relax,2026-04-03 11:22:26,1986087,1139821,103631,55791,63294,43111,37093,13355
4,relax,2026-04-03 11:22:27,297172,139159,7173,13391,11743,13690,9071,1875
4,relax,2026-04-03 11:22:28,270547,543646,32232,60609,23350,37063,13438,13100
4,relax,2026-04-03 11:22:29,528506,130273,5270,5257,11037,6039,7230,4825
4,relax,2026-04-03 11:22:30,125583,282923,36540,14443,13744,9800,5570,3602
4,relax,2026-04-03 11:22:31,851533,209847,23973,16969,7710,9769,6824,3650
4,relax,2026-04-03 11:22:32,1261817,465107,157646,109449,45193,19827,13581,9714
4,relax,2026-04-03 11:22:33,772027,239338,12331,25636,7243,12797,16633,1578
4,relax,2026-04-03 11:22:34,1113335,1865712,21564,72045,53803,53353,85157,9377
4,relax,2026-04-03 11:22:35,512790,135694,16706,22585,7343,7452,1671,5040
4,relax,2026-04-03 11:22:36,608596,87659,49182,11393,10051,7694,6246,4618
4,relax,2026-04-03 11:22:37,2091768,325997,47877,70426,28774,42980,15775,7462
4,relax,2026-04-03 11:22:38,1003739,60149,25781,13589,19437,9889,2470,2895
4,relax,2026-04-03 11:22:39,550270,31960,2397,3863,4154,16389,4094,2443
4,relax,2026-04-03 11:22:40,1777560,704535,178431,39011,31888,30181,37418,3496
4,relax,2026-04-03 11:22:41,2636677,140491,73905,14425,30292,12303,26500,8805
4,relax,2026-04-03 11:22:42,88818,129315,136258,25647,19461,26061,11382,18714
4,relax,2026-04-03 11:22:43,75019,35155,2658,434,2313,3028,1167,398
4,relax,2026-04-03 11:22:44,99611,14370,8458,2532,937,2334,1863,880
4,relax,2026-04-03 11:22:45,757663,39277,4947,3051,15217,12368,8004,5961
4,relax,2026-04-03 11:22:46,235031,143984,35826,10076,27627,7686,4679,4953
4,relax,2026-04-03 11:22:47,814989,178727,5458,2215,15228,6948,8048,2814
4,relax,2026-04-03 11:22:48,666060,205459,9540,13700,4702,8674,8497,1713
4,relax,2026-04-03 11:22:49,1720320,145252,48949,4582,28977,11275,12564,3477
4,relax,2026-04-03 11:22:50,2221200,454557,58647,12445,6679,31909,36529,15118
4,relax,2026-04-03 11:22:51,970937,86346,12720,17428,12352,8102,3965,10227
4,relax,2026-04-03 11:22:52,408798,97820,12514,4795,19769,12437,6462,5476
4,relax,2026-04-03 11:22:53,522769,50419,22599,21419,14790,9992,2722,2042
4,relax,2026-04-03 11:22:54,585821,57250,14411,10142,6854,13237,5944,3971
4,relax,2026-04-03 11:22:55,801460,82393,8162,6206,8687,6167,2975,1428
4,relax,2026-04-03 11:22:56,902678,286004,25860,22584,5101,9952,4246,1555
4,relax,2026-04-03 11:22:57,1683723,130313,17894,48647,16636,12189,10018,1795
4,relax,2026-04-03 11:22:58,287926,350939,8497,9154,5815,5584,7859,4275
4,relax,2026-04-03 11:22:59,1369256,136999,138314,25137,27548,60204,16190,18066
4,relax,2026-04-03 11:23:00,161927,116606,19975,15937,4015,7487,7409,2682
4,relax,2026-04-03 11:23:01,621051,62388,22352,6327,3918,8762,5049,2664
4,relax,2026-04-03 11:23:02,852586,61400,13133,4512,3431,4255,4842,1701
