Timestamp,Signal_Quality,Attention,Meditation,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2026-03-30 20:25:02,0,50,53,66238,44069,10071,9583,4301,11184,5098,2707
2026-03-30 20:25:03,0,47,81,157873,15855,51716,37043,7100,10499,7705,4757
2026-03-30 20:25:04,0,43,81,86561,18341,35587,14965,3444,6154,4462,2086
2026-03-30 20:25:05,0,50,78,72728,38727,6895,1533,4273,3112,2531,1008
2026-03-30 20:25:06,0,51,83,239050,14105,7799,4306,4311,4294,4802,1684
2026-03-30 20:25:07,0,53,61,81212,26600,1593,10165,5708,4952,5093,2761
2026-03-30 20:25:08,0,64,43,71528,60428,4506,25739,12428,23564,7674,6949
2026-03-30 20:25:09,0,57,41,109977,53559,4277,6927,5448,2442,2419,1541
2026-03-30 20:25:10,0,61,38,28477,16517,2172,7960,2351,7015,1152,1129
2026-03-30 20:25:11,0,54,43,133937,36732,13467,8196,6512,3806,1510,1046
2026-03-30 20:25:12,0,50,43,18580,11123,3559,2251,3014,3116,2136,567
2026-03-30 20:25:13,0,66,63,83535,12202,17698,8432,4563,6637,3292,2050
2026-03-30 20:25:14,0,53,61,261133,31362,2876,11422,3161,3608,3489,934
2026-03-30 20:25:15,0,51,50,61028,39993,2686,3592,2425,2539,2003,1020
2026-03-30 20:25:16,0,35,54,402980,146896,44322,53632,29162,9199,5402,5968
2026-03-30 20:25:17,0,30,47,531186,5297,1863,2647,2868,1078,913,506
2026-03-30 20:25:18,0,20,41,2680671,508439,73031,58157,13264,18035,3560,5774
2026-03-30 20:25:19,0,20,53,233556,32996,12151,5382,1496,2507,3497,913
2026-03-30 20:25:20,0,30,50,8329,9580,956,4046,2086,1682,2341,467
2026-03-30 20:25:21,0,30,50,215079,61420,18224,15925,15595,11133,11485,3565
2026-03-30 20:25:22,0,40,51,32569,10465,3005,2711,8654,977,2090,508
2026-03-30 20:25:23,0,63,53,14200,20313,12452,8990,4033,15557,7763,2631
2026-03-30 20:25:24,0,63,64,23800,17506,23275,16449,10742,7167,6641,1462
2026-03-30 20:25:25,0,66,66,20760,12110,4461,5280,4956,3113,1536,1349
2026-03-30 20:25:26,0,57,61,61193,101339,6041,13526,8338,3703,3505,7593
2026-03-30 20:25:27,0,48,63,19661,21862,17314,10676,8980,7347,4916,1321
2026-03-30 20:25:28,0,51,57,263847,8759,8617,1501,2470,3203,1328,1143
2026-03-30 20:25:29,0,44,53,1568708,46363,11944,5873,9204,5365,10920,4024
2026-03-30 20:25:30,0,44,47,608862,42801,2895,1200,1558,1559,1298,690
2026-03-30 20:25:31,0,53,40,48019,3182,3548,2489,7166,3006,3150,1251
