Timestamp,Signal_Quality,Attention,Meditation,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2026-04-03 14:41:31,51,0,0,1467818,16687,15498,8101,16914,23410,10894,17420
2026-04-03 14:41:32,51,0,0,1433629,28371,21970,40409,44680,65317,16044,39140
2026-04-03 14:41:33,25,0,0,434424,52290,11005,15829,3869,5151,1834,655
2026-04-03 14:41:34,51,0,0,2052061,45569,20095,2020,17036,10623,5301,1112
2026-04-03 14:41:35,51,0,0,740932,248325,106711,215503,369794,613487,360061,302011
2026-04-03 14:41:36,51,0,0,1374640,32496,15532,5954,3095,2260,1616,677
2026-04-03 14:41:37,25,0,0,33,7,1,2,1,2,1,0
2026-04-03 14:41:38,25,0,0,504280,492629,145171,89712,80409,33661,11321,9961
2026-04-03 14:41:39,26,0,0,351291,113898,131293,161535,157836,46414,15224,2411
2026-04-03 14:41:40,51,0,0,620120,27855,19451,49135,51216,30141,19590,7842
2026-04-03 14:41:41,26,0,0,1076625,21518,24688,35957,12618,16545,3562,1237
2026-04-03 14:41:42,51,0,0,40370,74594,34345,31900,19058,12680,4084,1513
2026-04-03 14:41:43,51,0,0,267794,39025,21148,19074,8434,23302,5797,3061
2026-04-03 14:41:44,51,0,0,125086,52344,7053,17676,59574,54529,66989,31135
2026-04-03 14:41:45,51,0,0,1266500,244734,46887,62378,95782,30296,25512,32484
2026-04-03 14:41:46,51,0,0,546291,424614,304889,334157,91918,134562,98660,168468
2026-04-03 14:41:47,51,0,0,1219707,201977,20377,95952,11785,193948,52586,63946
2026-04-03 14:41:48,51,0,0,2020763,50353,17304,234381,47313,119770,73284,59537
2026-04-03 14:41:49,51,0,0,555822,316948,61350,305106,91268,65422,35984,51098
2026-04-03 14:41:50,51,0,0,529917,208406,52177,87042,240552,80587,57512,21483
2026-04-03 14:41:51,51,0,0,1660995,380573,49756,144399,204265,85440,27438,25540
2026-04-03 14:41:52,51,0,0,822195,262965,499092,200062,140633,146017,78555,141970
2026-04-03 14:41:53,51,0,0,186816,35024,24442,52022,75511,41367,25150,12471
2026-04-03 14:41:54,80,0,0,1038813,45863,125444,27304,29193,67731,52734,21070
2026-04-03 14:41:55,54,0,0,726156,49639,13950,8868,3018,1572,612,386
2026-04-03 14:41:56,51,0,0,2140446,1086673,775787,703746,671525,308201,255220,174559
2026-04-03 14:41:57,51,0,0,666849,251270,139320,50203,78632,246137,190590,97677
