Timestamp,Signal_Quality,Attention,Meditation,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2026-03-30 20:55:57,0,78,41,161496,92996,1207,18397,25035,13039,3825,1887
2026-03-30 20:55:58,0,74,38,723304,581242,53892,69507,68347,61877,36811,16677
2026-03-30 20:55:59,25,74,38,867915,176697,23582,35376,34296,15583,6567,2612
2026-03-30 20:56:00,25,74,38,2497337,438635,88369,54863,20457,13628,5267,2326
2026-03-30 20:56:01,25,74,38,998300,292085,140163,160543,134034,66550,17002,6143
2026-03-30 20:56:02,25,74,38,677535,25075,7433,5333,10544,5799,3666,1761
2026-03-30 20:56:03,0,67,30,292278,31982,2136,4737,7687,3866,3864,5755
2026-03-30 20:56:04,0,53,34,1576017,269322,98267,38810,38330,20746,20863,10424
2026-03-30 20:56:05,0,51,37,604978,154296,15165,22494,10028,19281,13151,4861
2026-03-30 20:56:06,0,57,48,223663,12293,5395,8697,3494,4410,4760,2143
2026-03-30 20:56:07,0,54,53,280434,77586,15050,23201,35820,9872,7362,3431
2026-03-30 20:56:08,0,74,50,95095,13275,2204,5957,7216,7300,2862,1156
2026-03-30 20:56:09,0,81,66,1492752,9670,18305,19343,6174,11351,4829,1720
2026-03-30 20:56:10,0,78,66,196123,4010,4224,1107,2328,1169,1480,417
2026-03-30 20:56:11,0,84,74,50658,14353,9728,8456,12455,5015,5519,3513
2026-03-30 20:56:12,0,64,78,367287,59646,32368,14835,14750,4725,5517,603
2026-03-30 20:56:13,0,57,69,897738,22355,8782,11155,6488,5879,1911,3391
2026-03-30 20:56:14,0,44,57,281670,90827,11658,7598,8168,3114,6649,2462
2026-03-30 20:56:15,0,38,43,785102,51351,721,6423,8836,4478,7516,5179
2026-03-30 20:56:16,0,47,47,6418,16650,11755,11571,9947,4007,2850,2363
2026-03-30 20:56:17,0,47,44,148117,86603,49864,50150,105082,26067,18191,6686
2026-03-30 20:56:18,0,66,38,842130,67281,6063,5651,44012,18468,11635,7907
2026-03-30 20:56:19,0,78,34,392909,50804,2198,2481,4943,13690,3380,3478
2026-03-30 20:56:20,0,69,24,368305,33208,8171,3681,3590,1853,1913,799
2026-03-30 20:56:21,0,75,35,87400,12603,24559,7454,3292,9570,5846,2314
2026-03-30 20:56:22,0,57,40,289662,443739,11897,59864,12055,26517,16092,4586
2026-03-30 20:56:23,0,50,56,633227,213560,98680,39598,28005,31297,16934,22432
2026-03-30 20:56:24,0,61,47,2141821,633774,24691,50160,112360,93307,22074,10754
2026-03-30 20:56:25,0,53,29,129437,40721,5567,2380,1632,4334,2157,285
2026-03-30 20:56:26,0,69,37,675989,99240,31649,20290,24956,42744,14880,3819
2026-03-30 20:56:27,0,77,38,1085996,6255,9969,4845,10184,4445,3027,906
2026-03-30 20:56:28,0,74,43,94489,15672,1636,1583,1449,1780,1090,438
2026-03-30 20:56:29,0,75,60,594141,71520,99573,26685,24062,23646,33336,11271
2026-03-30 20:56:30,0,74,64,182139,51247,16053,30687,6606,20549,13566,4679
2026-03-30 20:56:31,0,74,50,200655,9312,1049,836,3724,2168,1192,680
2026-03-30 20:56:32,0,77,56,2036483,168823,44606,33140,13903,31086,33922,17344
2026-03-30 20:56:33,0,70,35,301916,350461,28458,14781,21360,27758,22861,10093
2026-03-30 20:56:34,0,57,14,118594,68446,2098,3923,17383,4657,2493,3436
2026-03-30 20:56:35,0,60,26,153852,8924,5786,1693,3367,4070,6009,2508
2026-03-30 20:56:36,0,56,26,65871,13972,2590,3646,4312,1702,1249,937
2026-03-30 20:56:37,0,60,43,2209760,96545,83957,7017,19433,19201,26740,5784
2026-03-30 20:56:38,0,50,50,603377,148382,4122,14387,2504,3347,4058,2212
2026-03-30 20:56:39,0,53,48,422403,83244,56339,21297,56680,54143,21285,12223
2026-03-30 20:56:40,0,64,53,735818,39406,28713,19824,15253,26487,10283,4660
2026-03-30 20:56:41,0,75,50,1048346,32648,16585,25704,39054,22151,27090,13177
2026-03-30 20:56:42,0,84,67,53306,56019,57318,2308,9299,7571,2945,2027
2026-03-30 20:56:43,0,78,77,105601,83931,132212,61435,22364,46963,18024,15459
2026-03-30 20:56:44,0,47,63,59480,33742,2268,2221,1477,421,366,152
2026-03-30 20:56:45,0,26,60,2027725,425318,73460,80532,44509,21984,21474,6362
2026-03-30 20:56:46,0,30,47,607416,82115,10114,9913,6974,9575,5537,1216
2026-03-30 20:56:47,0,40,27,612641,56341,10249,8278,37576,30753,8283,5413
2026-03-30 20:56:48,0,61,30,430231,112884,13016,16983,33151,13616,16997,10730
2026-03-30 20:56:49,0,83,40,343351,13230,10649,25738,16354,18538,3633,2002
2026-03-30 20:56:50,0,94,40,758311,63012,10214,18966,50621,27606,16018,7166
2026-03-30 20:56:51,0,83,44,270771,132094,632,36441,10958,22375,10576,4490
2026-03-30 20:56:52,0,80,35,1299651,64906,1859,3376,7611,4716,6147,2561
2026-03-30 20:56:53,0,60,16,1700913,703671,38919,38996,46189,39302,12298,14082
2026-03-30 20:56:54,0,40,17,90637,60924,4793,16876,17924,3200,6201,1164
2026-03-30 20:56:55,0,44,21,1148950,103681,24270,31889,27031,29344,12195,4650
2026-03-30 20:56:56,0,48,29,938081,209937,7344,33696,19543,27001,6059,5070
2026-03-30 20:56:57,0,43,26,24925,65852,3695,1192,6025,2100,589,518
2026-03-30 20:56:58,0,51,23,1962202,315834,25028,55542,50058,32042,20778,12393
2026-03-30 20:56:59,0,41,11,1299038,423817,10133,35062,18388,31579,14520,13446
2026-03-30 20:57:00,0,56,20,227085,26968,20212,21935,43098,33537,24679,7262
2026-03-30 20:57:01,0,70,35,102470,11164,2326,2368,1302,2671,774,516
2026-03-30 20:57:02,0,74,30,98240,15487,1661,1033,6325,1693,1120,489
2026-03-30 20:57:03,0,83,50,6266,10992,6901,12004,8586,5510,3302,1628
2026-03-30 20:57:04,0,74,48,281431,69338,28131,11305,20844,19919,45180,18896
2026-03-30 20:57:05,0,66,41,384007,53897,7005,6079,7368,6347,4952,3023
2026-03-30 20:57:06,0,75,54,778723,99152,77716,36577,81700,47181,27028,12612
2026-03-30 20:57:07,0,69,44,1529847,44073,5424,8363,8205,6963,5763,1435
2026-03-30 20:57:08,0,67,40,855925,159543,29819,13405,15862,28409,14087,26440
2026-03-30 20:57:09,0,77,43,142882,13596,4216,3274,12403,4183,3855,2474
2026-03-30 20:57:10,0,64,35,42097,12000,2686,1026,4072,1047,1255,816
2026-03-30 20:57:11,0,66,41,1376050,26823,13765,3346,3641,5391,3525,2104
2026-03-30 20:57:12,0,60,43,612248,290958,57407,30014,16709,24873,21698,8743
2026-03-30 20:57:13,0,53,40,647062,144965,28939,6162,63680,19533,32000,14945
2026-03-30 20:57:14,0,57,43,154069,74042,17118,7497,7919,10394,6890,2253
2026-03-30 20:57:14,0,61,44,257583,38781,35093,42600,44903,23167,17369,13624
2026-03-30 20:57:15,0,63,40,45609,13976,1791,970,3703,1281,2431,344
2026-03-30 20:57:16,0,56,43,132682,44268,6070,7106,4598,3689,1412,795
2026-03-30 20:57:17,0,47,41,742020,269750,49070,14887,4801,11487,5454,2567
2026-03-30 20:57:18,25,47,41,748595,7519,7238,2219,2597,2074,1983,1151
2026-03-30 20:57:19,0,37,37,755681,75727,15138,16096,8243,7685,5484,5238
2026-03-30 20:57:21,0,38,37,1957355,356617,19110,39042,22750,33363,13943,15979
2026-03-30 20:57:21,0,51,38,884781,85967,27624,14785,21994,30871,27435,16352
2026-03-30 20:57:22,0,63,43,363973,45069,20879,5125,5592,7493,1760,3027
2026-03-30 20:57:23,0,66,51,65964,17276,8441,14818,9023,4102,7521,2734
2026-03-30 20:57:24,0,54,51,692931,101887,12002,4419,6575,3254,2563,5666
2026-03-30 20:57:25,0,44,44,1460819,213723,14220,26911,41329,22498,23379,7006
2026-03-30 20:57:26,0,35,23,70305,32404,268,1093,1694,1471,1098,632
2026-03-30 20:57:27,0,30,11,868845,658580,120232,26226,40721,65355,16567,11456
2026-03-30 20:57:28,0,48,11,600304,18312,1385,2718,4585,3316,1375,657
2026-03-30 20:57:29,0,50,17,282725,45508,6502,10489,7801,6514,3792,1882
2026-03-30 20:57:30,0,53,35,122098,27603,4379,4181,3366,2046,2722,424
2026-03-30 20:57:31,0,56,43,118694,37339,3521,20665,11576,6781,9448,6728
2026-03-30 20:57:32,0,41,38,1220629,290858,18106,17617,8035,10759,6974,5370
2026-03-30 20:57:33,0,40,30,580469,80291,5130,7549,4324,7542,2508,1755
2026-03-30 20:57:34,0,48,34,146205,12974,3165,2901,1877,2567,1100,610
2026-03-30 20:57:35,0,44,35,354605,57524,7614,27734,10228,6941,5201,2932
2026-03-30 20:57:36,0,63,38,1721746,166007,20548,18499,19452,46754,16447,9572
2026-03-30 20:57:37,0,69,44,1710984,133374,10182,36112,9959,24747,10443,7963
2026-03-30 20:57:38,0,66,38,197551,21203,1398,2582,1883,2313,1240,452
2026-03-30 20:57:39,0,78,30,225371,35477,7499,4695,7124,11317,6706,1762
2026-03-30 20:57:40,0,75,30,220584,58742,10611,2727,11227,12617,3194,6466
2026-03-30 20:57:41,0,74,30,976527,243039,19800,54437,8797,36610,17156,6372
2026-03-30 20:57:42,0,83,35,1267388,96643,23398,18992,16407,38711,60111,13952
2026-03-30 20:57:43,0,83,48,365253,55842,23215,103255,37695,47107,21727,5209
2026-03-30 20:57:44,0,81,61,1396124,74438,12049,79297,27805,28131,20658,25977
2026-03-30 20:57:45,0,74,57,116146,103313,6231,13513,5569,5669,2575,1176
2026-03-30 20:57:46,0,67,57,1363049,112452,35204,12070,14680,24967,6291,3198
2026-03-30 20:57:47,0,64,60,2048729,62732,105931,28510,30426,33064,24578,5806
2026-03-30 20:57:48,0,57,56,84124,54491,19507,16340,8824,7660,4898,3957
2026-03-30 20:57:49,0,70,57,409536,40906,722,8614,1796,9020,3100,1455
2026-03-30 20:57:50,0,69,63,69617,129250,89964,5450,7197,29286,11665,11012
2026-03-30 20:57:51,0,70,53,473912,53055,21145,9408,8065,17602,4523,2793
2026-03-30 20:57:52,0,75,40,1071572,69874,7929,2472,14373,10027,5851,4320
2026-03-30 20:57:53,0,80,50,1124027,31388,28655,6112,8240,23782,6865,2169
2026-03-30 20:57:54,0,78,41,58907,12845,3757,153,1928,2132,590,1065
2026-03-30 20:57:55,0,83,38,1067366,95008,25407,9013,15673,47678,16836,4273
2026-03-30 20:57:56,0,88,48,438457,71083,40341,15297,33275,32051,14087,16219
2026-03-30 20:57:57,0,87,51,140902,8041,8821,6228,5773,6456,4785,2423
2026-03-30 20:57:58,0,87,48,1249142,242993,34503,12407,36657,31088,14171,8203
2026-03-30 20:57:59,0,81,48,255694,123712,31984,19910,38961,38672,31081,8169
2026-03-30 20:58:00,0,66,38,169756,152723,6001,13007,3388,7829,4730,4311
2026-03-30 20:58:01,0,64,30,98964,24433,15096,2896,7697,9422,7530,1813
2026-03-30 20:58:02,0,70,47,1010880,63265,48132,33004,5425,33465,16481,9885
2026-03-30 20:58:03,0,67,50,249851,27086,10650,4365,8996,6556,3767,2437
2026-03-30 20:58:04,0,78,61,41845,34980,6507,13027,6295,7496,4982,1734
2026-03-30 20:58:05,0,78,66,189996,58140,39784,49696,14459,34154,14508,11677
2026-03-30 20:58:06,0,66,63,247212,30330,14869,5548,4661,3757,1830,2542
2026-03-30 20:58:07,0,54,61,571429,338276,94007,13677,30553,21977,24322,10446
2026-03-30 20:58:08,0,60,56,156892,24797,2286,7039,6709,7844,6108,2711
2026-03-30 20:58:09,0,56,53,1184020,91564,11670,47398,12674,26213,10194,3549
2026-03-30 20:58:10,0,60,50,1589401,233564,85948,23048,33324,31297,8267,6358
2026-03-30 20:58:11,0,64,50,142765,8901,1785,2152,1603,1025,1185,545
2026-03-30 20:58:12,0,67,50,1715724,148806,47124,20713,65039,64432,18933,16302
2026-03-30 20:58:13,0,60,43,70195,43743,4644,7317,7554,3832,4715,1963
2026-03-30 20:58:14,0,75,43,49734,41268,7209,35074,38289,40148,14676,19818
2026-03-30 20:58:15,0,81,41,193909,134036,17844,39352,33304,35269,18172,6293
2026-03-30 20:58:16,0,69,38,1362281,167920,23206,21029,105347,17715,11784,11263
2026-03-30 20:58:17,0,77,40,117602,36916,2073,7991,2029,5769,2140,946
2026-03-30 20:58:18,0,64,21,765793,252558,8576,7085,48698,39013,25309,4818
2026-03-30 20:58:19,0,67,23,131852,14184,6877,3648,9644,7359,9363,2972
2026-03-30 20:58:20,0,74,14,1126445,237266,14295,2233,16473,39250,21430,5144
2026-03-30 20:58:21,0,87,20,494049,29277,17074,22041,47026,30948,17122,9130
2026-03-30 20:58:22,0,97,40,28249,42768,15352,29657,18055,36961,19925,6268
2026-03-30 20:58:23,0,100,29,458546,12278,2142,1024,8410,7307,19437,3423
2026-03-30 20:58:24,0,100,54,12857,10608,10721,8721,7822,6081,5298,927
2026-03-30 20:58:25,0,94,48,104461,8938,1526,884,2633,1888,1332,448
2026-03-30 20:58:26,0,88,38,117846,21441,1737,3628,4408,6844,3210,1712
