Timestamp,Signal_Quality,Attention,Meditation,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2026-03-30 20:42:45,51,57,70,1710965,70462,45263,17774,39326,18544,11601,8771
2026-03-30 20:42:46,0,66,56,3085550,540093,38345,63737,99708,63330,40809,20855
2026-03-30 20:42:47,0,84,43,1463553,246684,77699,20004,31912,70029,14230,4613
2026-03-30 20:42:48,0,77,54,1334230,35268,83952,15820,10858,10329,5046,2879
2026-03-30 20:42:49,0,56,35,1204582,131724,4409,30968,30477,17157,21413,4011
2026-03-30 20:42:50,0,54,41,1210460,714299,56206,187976,191362,91718,70109,45629
2026-03-30 20:42:51,0,41,41,194920,17122,4541,2063,2445,1534,2136,647
2026-03-30 20:43:15,51,0,0,198782,120869,8676,39571,40946,7144,1349,3678
2026-03-30 20:43:16,0,0,0,653764,340654,173766,195720,204593,24075,14403,12681
2026-03-30 20:43:17,0,0,0,2442738,254995,83388,47355,218920,80971,37318,9117
2026-03-30 20:43:18,25,0,0,135723,39205,4790,2753,3470,1513,722,744
2026-03-30 20:43:19,26,0,0,629004,14217,4262,17881,7069,4115,660,661
2026-03-30 20:43:20,0,0,0,1814902,360742,149871,58059,92267,52454,26101,19841
2026-03-30 20:43:21,0,51,26,1026895,110014,45008,33204,11939,17305,2216,1962
2026-03-30 20:43:22,0,48,53,1899206,418669,354746,277565,115605,151795,18442,21250
2026-03-30 20:43:30,0,48,77,370552,283199,22244,47409,25158,7944,3109,2880
2026-03-30 20:43:31,0,48,80,904801,264928,410555,68490,32437,80756,7375,19210
2026-03-30 20:43:32,0,47,90,1727273,215756,170244,98734,27249,55624,21546,5285
2026-03-30 20:43:33,0,41,77,1159860,267206,97047,90326,74166,33756,12790,7237
2026-03-30 20:43:34,0,60,84,1274671,114787,35777,17602,13878,17560,3120,4970
2026-03-30 20:43:35,0,47,56,350465,119312,27725,9216,8949,5917,2795,2043
2026-03-30 20:43:36,0,47,44,1174811,113681,22962,60781,28546,23947,4181,4853
2026-03-30 20:43:37,0,51,57,643671,36004,59974,29581,32071,16119,2042,2381
2026-03-30 20:43:38,0,41,48,1389667,781414,87018,120982,71609,48433,24957,16480
2026-03-30 20:43:39,0,60,70,1157003,20394,31079,13705,14750,11028,1461,3235
2026-03-30 20:43:40,0,54,80,1651614,273890,94817,241470,79987,51227,23656,5217
2026-03-30 20:43:41,0,51,81,2175456,1180719,1405330,585095,473162,277813,49968,38879
2026-03-30 20:43:42,0,40,74,184782,274025,24479,4668,5397,5201,1670,3216
2026-03-30 20:43:43,0,21,80,716567,46682,63737,20124,4888,4826,5143,1782
2026-03-30 20:43:44,0,13,56,2241624,897759,161462,60209,102253,46248,14057,6595
2026-03-30 20:43:45,0,1,44,1600457,848665,478413,30733,99291,34959,17308,6994
2026-03-30 20:43:46,0,16,70,601053,77422,10909,49959,17326,11241,4586,1092
2026-03-30 20:43:47,0,29,40,544469,92936,5501,15994,6742,13057,7628,6931
2026-03-30 20:43:48,0,29,38,139466,180623,7782,26964,13072,8443,6050,1842
2026-03-30 20:43:49,0,56,34,1607996,28719,10880,12011,13103,11948,3385,1363
2026-03-30 20:43:50,0,43,20,294332,153390,34175,6789,7470,4118,1840,1026
2026-03-30 20:43:51,0,35,30,218163,76014,23361,16800,21162,6803,4747,5597
2026-03-30 20:43:52,0,35,57,968390,49845,38849,34578,13744,5560,4451,832
2026-03-30 20:43:53,0,24,44,681414,445668,23972,85170,106909,54143,8893,9955
2026-03-30 20:43:54,0,40,43,753317,238500,44383,32717,90579,27929,10126,9565
2026-03-30 20:43:55,0,43,47,788766,74430,4727,32597,5838,8135,2616,1746
2026-03-30 20:43:56,0,34,16,1192572,415342,25618,51306,35503,9981,22070,4922
2026-03-30 20:43:57,0,29,37,165933,342944,162075,70183,14889,42871,23161,4190
2026-03-30 20:43:58,0,11,37,2367180,604390,63136,88184,38972,14339,13141,3697
2026-03-30 20:43:59,0,17,40,291731,50843,30497,14133,7287,10402,3205,2613
2026-03-30 20:44:00,0,27,69,1132409,79488,40589,82269,28236,8538,6226,3932
2026-03-30 20:44:01,0,17,70,958496,188765,121287,52320,53474,13311,20858,5799
2026-03-30 20:44:02,0,21,87,1657750,319537,125776,79347,19872,13468,5151,7413
2026-03-30 20:44:03,0,17,66,190532,88002,8594,9375,4193,8610,3848,2082
2026-03-30 20:44:04,0,24,64,764372,107299,105483,23402,27724,20413,8271,7971
2026-03-30 20:44:05,0,29,64,1448331,129289,72133,34367,13935,12936,5281,2374
2026-03-30 20:44:06,0,38,64,732568,49959,23443,9228,3915,4051,1682,2351
2026-03-30 20:44:07,0,30,74,1338545,252127,55584,41751,49543,15614,12667,9895
2026-03-30 20:44:08,0,24,53,492013,475175,101083,42030,33408,29133,6556,4568
2026-03-30 20:44:09,0,34,56,2387408,138985,107577,48282,25445,27549,5024,4954
2026-03-30 20:44:10,0,27,29,326236,108093,4369,5558,9583,3855,2046,967
2026-03-30 20:44:11,0,44,23,772424,296216,33786,33006,45199,69874,14828,9535
2026-03-30 20:44:12,0,43,10,168988,71216,3507,3030,5504,3179,1408,1947
2026-03-30 20:44:13,0,41,1,26448,17877,4461,3449,2152,2068,271,473
2026-03-30 20:44:14,0,56,7,673335,30037,3307,2686,5666,4453,1196,448
2026-03-30 20:44:15,0,35,35,1825434,461759,473023,323695,102422,38691,29096,11985
2026-03-30 20:44:16,0,24,44,1431878,454588,24346,64534,28353,11256,9715,2776
2026-03-30 20:44:17,0,17,51,2054215,350627,229570,30548,14184,30664,25427,5656
2026-03-30 20:44:18,0,8,74,114047,12688,6646,2779,1373,1045,884,264
2026-03-30 20:44:19,0,24,56,1323726,78014,57174,6749,61855,17769,8489,4410
2026-03-30 20:44:20,0,47,60,2028220,29084,1549,7450,9465,4388,1697,517
2026-03-30 20:44:21,25,47,60,2151612,272999,19084,7208,3680,8044,3502,1003
2026-03-30 20:44:22,25,47,60,1262,1081,98,7,23,20,10,3
2026-03-30 20:44:23,25,47,60,399076,39799,11652,2295,4151,2852,2001,1221
2026-03-30 20:44:24,0,53,64,1892907,59889,41661,26364,7541,11440,6667,2973
2026-03-30 20:44:25,25,53,64,531097,88990,13072,19846,11035,6013,5663,1777
2026-03-30 20:44:26,25,53,64,38434,75448,55397,19838,21902,47198,47988,15625
2026-03-30 20:44:27,25,53,64,678650,89011,74612,56739,52304,14945,10134,2978
2026-03-30 20:44:28,25,53,64,40,11,7,3,9,0,0,0
2026-03-30 20:44:29,25,53,64,85,15,7,17,20,17,4,7
2026-03-30 20:44:30,25,53,64,31,7,3,1,1,2,1,2
2026-03-30 20:44:31,0,78,64,6410,1573,1374,799,804,1430,490,86
2026-03-30 20:44:32,0,93,67,6073,4513,3913,3866,3588,6771,1957,1230
2026-03-30 20:44:33,0,100,75,23101,6320,1169,4915,5826,3758,6774,2774
2026-03-30 20:44:34,0,100,64,379468,180538,77477,26572,27383,20742,8776,3776
2026-03-30 20:44:35,0,96,60,327853,30021,22568,6053,16025,18530,7198,2490
2026-03-30 20:44:36,0,63,48,1711805,407131,46740,56578,22225,15049,3903,2975
2026-03-30 20:44:37,0,43,51,1057498,109246,35545,25270,12192,8668,2642,3392
2026-03-30 20:44:38,0,27,29,188983,272975,10667,16780,5975,7119,6266,4417
2026-03-30 20:44:39,0,14,29,1620630,69288,11771,26319,11530,11801,6505,3323
2026-03-30 20:44:40,0,20,35,676616,38387,8880,4600,2302,1954,2706,455
2026-03-30 20:44:41,0,20,17,885820,511182,29059,57305,52732,36664,14306,7479
2026-03-30 20:44:42,0,34,30,1441603,491187,132845,13552,31514,42754,43111,12552
2026-03-30 20:44:43,0,26,14,187354,149491,6180,15295,5913,9830,6050,3121
2026-03-30 20:44:44,0,38,7,886789,70525,6945,10205,13251,9739,5627,1104
2026-03-30 20:44:45,0,40,20,211987,44871,6505,9666,2636,3612,1323,1437
2026-03-30 20:44:46,0,35,27,199782,25108,11867,4106,4296,1861,1548,1767
2026-03-30 20:44:47,0,29,43,2339302,667042,69450,178569,77245,34931,20664,67407
2026-03-30 20:44:48,0,8,67,114358,80000,63526,37685,12145,3260,5859,5696
2026-03-30 20:44:49,0,10,66,932308,104029,21578,16212,8539,10313,7652,2611
2026-03-30 20:44:50,0,17,41,1064433,528021,12011,7671,64525,48185,14556,13165
2026-03-30 20:44:51,0,34,56,1534121,157294,56163,179050,92618,55102,59142,14140
2026-03-30 20:44:52,0,61,60,282256,20159,43083,17913,9502,16041,5260,4726
2026-03-30 20:44:53,0,60,69,1011107,83247,18247,25997,4177,7757,3357,2775
2026-03-30 20:44:54,0,50,100,743654,166508,61756,36054,7921,10410,13298,6468
2026-03-30 20:44:55,0,40,81,1015049,728742,38363,71594,48091,46810,28681,22428
