Timestamp,Signal_Quality,Attention,Meditation,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2026-04-03 10:53:55,200,0,0,1248631,538934,31443,74656,75138,145119,60313,9313
2026-04-03 10:53:56,200,0,0,708761,131135,54532,53373,32100,48651,21424,4125
2026-04-03 10:53:57,200,0,0,1598717,188948,41369,44714,86995,23608,11343,12187
2026-04-03 10:53:58,200,0,0,1648907,500479,61092,176979,254423,132073,43287,49468
2026-04-03 10:53:59,200,0,0,1139594,245415,110569,79002,69387,295251,67453,75404
2026-04-03 10:54:00,200,0,0,2668035,1024199,102849,138795,466903,167618,92446,28955
2026-04-03 10:54:01,200,0,0,1280224,918607,186789,119164,141718,203925,64430,24095
2026-04-03 10:54:02,200,0,0,1100775,728293,367695,251592,271318,185078,144242,164459
2026-04-03 10:54:03,200,0,0,158325,23220,35011,12504,33281,51496,23552,29062
2026-04-03 10:54:04,200,0,0,2305060,207457,103961,110530,117751,194082,81515,58012
2026-04-03 10:54:05,200,0,0,1401683,790150,675896,516304,291934,479468,108045,202002
2026-04-03 10:54:06,200,0,0,485896,214404,65060,140780,258935,159406,73155,73161
2026-04-03 10:54:07,200,0,0,3797292,1067627,833781,335792,142177,200317,72913,65476
2026-04-03 10:54:08,200,0,0,477187,128569,136204,80994,41402,19963,12613,10812
2026-04-03 10:54:09,200,0,0,775456,395469,104878,52549,125720,59607,170149,28767
2026-04-03 10:54:10,200,0,0,1336990,532587,21934,36739,36940,167930,82983,129943
2026-04-03 10:54:11,200,0,0,20540,18759,8324,8112,6471,2035,1299,672
2026-04-03 10:54:12,200,0,0,654671,46656,5747,16003,8615,5174,5870,1388
2026-04-03 10:54:13,200,0,0,330330,33222,8930,6157,8930,7199,1711,986
2026-04-03 10:54:14,200,0,0,530210,34621,13459,14246,10686,25443,12995,3555
2026-04-03 10:54:15,200,0,0,1838324,1303963,130790,132934,114057,150836,70739,38280
